ticker,primary_etf,effective_from,effective_to,status,mapping_note
MCD,PEJ.US,2016-01-26,2016-01-26,approved,user_reviewed_leisure_restaurants_industry_proxy
NI,XLU.US,2016-02-05,2016-02-05,approved,user_reviewed_utilities_industry_proxy
O,ICF.US,2016-02-05,2016-02-05,approved,user_reviewed_us_reit_industry_proxy
VMC,PKB.US,2016-06-10,2016-06-10,approved,user_reviewed_building_construction_industry_proxy
XYL,PHO.US,2016-06-15,2016-06-15,approved,user_reviewed_water_industry_proxy
WFM,PBJ.US,2017-07-17,2017-07-17,approved,user_reviewed_food_beverage_industry_proxy
CAT,PAVE.US,2017-12-26,2017-12-26,approved,user_reviewed_infrastructure_industry_proxy
UAA,,2018-07-10,2018-11-01,excluded,user_reviewed_no_direct_historical_industry_etf
XL,KBWP.US,2018-07-26,2018-07-26,approved,user_reviewed_property_casualty_insurance_industry_proxy
ANDV,CRAK.US,2018-09-10,2018-09-10,approved,user_reviewed_oil_refiners_industry_proxy
TJX,RTH.US,2018-10-26,2018-10-26,approved,user_reviewed_large_retail_industry_proxy
UAL,JETS.US,2018-10-26,2018-11-26,approved,user_reviewed_airlines_industry_proxy
IR,XHB.US,2019-05-15,2019-05-15,approved,user_reviewed_homebuilding_products_industry_proxy
SBAC,SRVR.US,2019-06-03,2019-06-26,approved,user_reviewed_data_infrastructure_real_estate_proxy
AMT,SRVR.US,2019-06-05,2019-06-05,approved,user_reviewed_data_infrastructure_real_estate_proxy
MTD,IHI.US,2019-06-10,2019-06-10,approved,user_reviewed_medical_devices_industry_proxy
APD,IYM.US,2019-06-26,2019-06-26,approved,user_reviewed_basic_materials_industry_proxy
DIS,PBS.US,2019-07-15,2019-07-15,approved,user_reviewed_media_industry_proxy
RMD,IHI.US,2019-09-26,2019-10-28,approved,user_reviewed_medical_devices_industry_proxy
STT,KCE.US,2020-01-15,2020-01-21,approved,user_reviewed_capital_markets_industry_proxy
CPB,PBJ.US,2020-03-20,2020-03-20,approved,user_reviewed_food_beverage_industry_proxy
MSCI,IAI.US,2020-04-01,2020-04-01,approved,user_reviewed_investment_services_industry_proxy
SBAC,SRVR.US,2020-04-13,2020-04-13,approved,user_reviewed_data_infrastructure_real_estate_proxy
HAL,OIH.US,2020-08-20,2020-08-20,approved,user_reviewed_oil_services_industry_proxy
WHR,XHB.US,2020-09-01,2020-09-01,approved,user_reviewed_homebuilding_products_industry_proxy
NOW,IGV.US,2020-09-15,2020-09-15,approved,user_reviewed_software_industry_proxy
MTD,IHI.US,2020-11-16,2020-11-16,approved,user_reviewed_medical_devices_industry_proxy
PVH,,2020-12-10,2020-12-10,excluded,user_reviewed_no_direct_historical_industry_etf
MGM,BJK.US,2020-12-28,2020-12-28,approved,user_reviewed_gaming_industry_proxy
COST,RTH.US,2022-03-07,2022-03-07,approved,user_reviewed_large_retail_industry_proxy
BKR,OIH.US,2022-03-15,2022-03-15,approved,user_reviewed_oil_services_industry_proxy
CVX,XLE.US,2022-03-15,2022-03-15,approved,user_reviewed_integrated_energy_industry_proxy
MRK,IHE.US,2022-07-15,2022-07-15,approved,user_reviewed_pharmaceuticals_industry_proxy
VICI,NETL.US,2022-09-20,2022-09-20,approved,user_reviewed_net_lease_real_estate_proxy
HUM,IHF.US,2022-09-26,2022-09-26,approved,user_reviewed_healthcare_providers_industry_proxy
NLSN,,2022-09-26,2022-09-26,excluded,user_reviewed_no_direct_historical_industry_etf
MRK,IHE.US,2023-01-20,2023-01-20,approved,user_reviewed_pharmaceuticals_industry_proxy
UAL,JETS.US,2023-02-06,2023-02-06,approved,user_reviewed_airlines_industry_proxy
KEY,IAT.US,2024-01-05,2024-01-05,approved,user_reviewed_regional_banks_industry_proxy
GL,IAK.US,2024-09-16,2024-09-16,approved,user_reviewed_insurance_industry_proxy
UAL,JETS.US,2024-12-20,2024-12-26,approved,user_reviewed_airlines_industry_proxy
TER,SOXX.US,2026-01-02,2026-06-26,approved,user_reviewed_semiconductor_industry_proxy
GE,PPA.US,2024-01-02,2024-10-21,approved,user_reviewed_aerospace_defense_industry_proxy
XOM,XLE.US,2022-01-20,2022-12-20,approved,user_reviewed_integrated_energy_industry_proxy
GLW,,2026-01-02,2026-06-26,excluded,user_reviewed_no_direct_historical_industry_etf
NI,XLU.US,2016-01-04,2016-08-26,approved,user_reviewed_utilities_industry_proxy
PM,VICE.US,2025-02-26,2025-07-21,approved,user_reviewed_vice_industry_proxy
IDXX,IHI.US,2017-03-15,2017-08-01,approved,user_reviewed_medical_devices_industry_proxy
AMT,SRVR.US,2019-01-02,2019-10-21,approved,user_reviewed_data_infrastructure_real_estate_proxy
TRGP,MLPX.US,2024-04-26,2024-12-26,approved,user_reviewed_midstream_energy_infrastructure_proxy
ACGL,IAK.US,2023-01-05,2023-11-15,approved,user_reviewed_insurance_industry_proxy
IT,XSW.US,2021-06-21,2021-12-27,approved,user_reviewed_software_services_industry_proxy
O,ICF.US,2016-02-01,2016-09-26,approved,user_reviewed_us_reit_industry_proxy
FTNT,CIBR.US,2021-04-15,2021-12-27,approved,user_reviewed_cybersecurity_industry_proxy
ADBE,IGV.US,2018-02-26,2018-10-10,approved,user_reviewed_software_industry_proxy
CMA,IAT.US,2017-01-03,2017-08-07,approved,user_reviewed_regional_banks_industry_proxy
BAC,KBWB.US,2017-01-03,2017-10-02,approved,user_reviewed_us_banks_industry_proxy
MSCI,IAI.US,2020-02-03,2020-11-10,approved,user_reviewed_investment_services_industry_proxy
FMC,MOO.US,2017-04-03,2017-11-20,approved,user_reviewed_agribusiness_industry_proxy
CI,IHF.US,2022-06-27,2022-12-27,approved,user_reviewed_healthcare_providers_industry_proxy
RF,IAT.US,2017-01-03,2017-07-10,approved,user_reviewed_regional_banks_industry_proxy
NOW,IGV.US,2020-02-18,2020-12-28,approved,user_reviewed_software_industry_proxy
VRSN,HACK.US,2025-03-10,2025-09-15,approved,user_reviewed_cybersecurity_industry_proxy
PSA,REZ.US,2016-01-04,2016-06-06,approved,user_reviewed_residential_multisector_reit_proxy
O,ICF.US,2019-01-02,2019-05-06,approved,user_reviewed_us_reit_industry_proxy
SYMC,HACK.US,2016-07-05,2016-12-15,approved,user_reviewed_cybersecurity_industry_proxy
FIX,PAVE.US,2026-02-26,2026-06-22,approved,user_reviewed_infrastructure_industry_proxy
ALB,LIT.US,2026-01-02,2026-05-11,approved,user_reviewed_lithium_battery_industry_proxy
ADSK,IGV.US,2017-01-10,2017-11-06,approved,user_reviewed_software_industry_proxy
APH,MADE.US,2025-07-28,2025-12-26,approved,user_reviewed_us_manufacturing_industry_proxy
DHI,ITB.US,2023-02-15,2023-09-15,approved,user_reviewed_homebuilders_industry_proxy
WELL,REZ.US,2019-01-02,2019-10-21,approved,user_reviewed_healthcare_residential_reit_proxy
ATVI,GAMR.US,2020-01-15,2020-10-01,approved,user_reviewed_video_games_industry_proxy
HAL,OIH.US,2022-01-18,2022-12-15,approved,user_reviewed_oil_services_industry_proxy
DASH,IBUY.US,2025-05-27,2025-10-27,approved,user_reviewed_online_retail_industry_proxy
CPB,PBJ.US,2016-01-20,2016-05-20,approved,user_reviewed_food_beverage_industry_proxy
CIEN,XTL.US,2026-04-15,2026-06-26,approved,user_reviewed_communications_equipment_industry_proxy
COF,KBWB.US,2021-01-11,2021-10-01,approved,user_reviewed_us_banks_industry_proxy
CTXS,IGV.US,2020-03-10,2020-07-20,approved,user_reviewed_software_industry_proxy
SBAC,SRVR.US,2019-02-05,2019-10-21,approved,user_reviewed_data_infrastructure_real_estate_proxy
WBD,PBS.US,2026-01-02,2026-03-10,approved,user_reviewed_media_industry_proxy
GE,PPA.US,2025-05-12,2025-12-22,approved,user_reviewed_aerospace_defense_industry_proxy
T,IYZ.US,2025-02-26,2025-07-28,approved,user_reviewed_telecom_services_industry_proxy
PXD,IEO.US,2022-01-18,2022-08-01,approved,user_reviewed_oil_gas_exploration_industry_proxy
WBD,PBS.US,2025-03-03,2025-12-26,approved,user_reviewed_media_industry_proxy
AXON,XAR.US,2025-01-02,2025-08-26,approved,user_reviewed_aerospace_defense_industry_proxy
RAI,XLP.US,2016-01-04,2016-07-05,approved,user_reviewed_consumer_staples_proxy
CINF,IAK.US,2019-04-26,2019-09-10,approved,user_reviewed_insurance_industry_proxy
LLTC,SOXX.US,2016-08-01,2016-12-27,approved,user_reviewed_semiconductor_industry_proxy
ADBE,IGV.US,2023-06-20,2023-12-20,approved,user_reviewed_software_industry_proxy
MCD,PEJ.US,2016-01-04,2016-05-10,approved,user_reviewed_leisure_restaurants_industry_proxy
PG,XLP.US,2019-01-02,2019-10-10,approved,user_reviewed_consumer_staples_proxy
EOG,IEO.US,2022-01-05,2022-12-20,approved,user_reviewed_oil_gas_exploration_industry_proxy
SCG,XLU.US,2016-02-05,2016-07-11,approved,user_reviewed_utilities_industry_proxy
GIS,PBJ.US,2022-07-01,2022-12-27,approved,user_reviewed_food_beverage_industry_proxy
ZION,IAT.US,2017-01-03,2017-03-15,approved,user_reviewed_regional_banks_industry_proxy
WST,IHI.US,2020-08-26,2020-12-28,approved,user_reviewed_medical_devices_industry_proxy
CAH,IHF.US,2025-04-07,2025-11-10,approved,user_reviewed_healthcare_providers_industry_proxy
ETR,XLU.US,2025-01-02,2025-10-27,approved,user_reviewed_utilities_industry_proxy
CHD,RHS.US,2019-01-02,2019-06-26,approved,user_reviewed_consumer_staples_industry_proxy
MRK,IHE.US,2019-01-02,2019-07-05,approved,user_reviewed_pharmaceuticals_industry_proxy
CFG,IAT.US,2017-01-03,2017-05-10,approved,user_reviewed_regional_banks_industry_proxy
TRGP,MLPX.US,2025-01-02,2025-04-01,approved,user_reviewed_midstream_energy_infrastructure_proxy
GDDY,FDN.US,2024-08-26,2024-12-26,approved,user_reviewed_internet_industry_proxy
HPE,XTH.US,2016-04-11,2016-12-27,approved,user_reviewed_technology_industry_proxy
BBY,XRT.US,2017-01-03,2017-08-28,approved,user_reviewed_retail_industry_proxy
ISRG,IHI.US,2017-05-10,2017-12-11,approved,user_reviewed_medical_devices_industry_proxy
DFS,IPAY.US,2021-01-04,2021-10-01,approved,user_reviewed_payments_industry_proxy
XYL,PHO.US,2016-05-20,2016-11-07,approved,user_reviewed_water_industry_proxy
GILD,IBB.US,2025-02-26,2025-10-20,approved,user_reviewed_biotechnology_industry_proxy
TTWO,GAMR.US,2025-02-26,2025-11-03,approved,user_reviewed_video_games_industry_proxy
ORCL,IGV.US,2023-02-21,2023-09-11,approved,user_reviewed_software_industry_proxy
TPL,IEO.US,2025-02-03,2025-05-20,approved,user_reviewed_oil_gas_exploration_industry_proxy
DXC,XSW.US,2021-05-20,2021-08-26,approved,user_reviewed_software_services_industry_proxy
FOX,PBS.US,2025-01-02,2025-07-01,approved,user_reviewed_media_industry_proxy
ABBV,IHE.US,2017-09-11,2017-12-26,approved,user_reviewed_pharmaceuticals_industry_proxy
HSY,PBJ.US,2019-05-10,2019-10-21,approved,user_reviewed_food_beverage_industry_proxy
UAL,JETS.US,2025-01-02,2025-10-06,approved,user_reviewed_airlines_industry_proxy
VRSN,HACK.US,2019-01-10,2019-07-22,approved,user_reviewed_cybersecurity_industry_proxy
LNC,KIE.US,2017-01-03,2017-03-15,approved,user_reviewed_insurance_industry_proxy
NOC,ITA.US,2022-03-10,2022-12-27,approved,user_reviewed_aerospace_defense_industry_proxy
FOXA,PBS.US,2025-01-06,2025-10-06,approved,user_reviewed_media_industry_proxy
STZ,PBJ.US,2016-01-04,2016-05-16,approved,user_reviewed_food_beverage_industry_proxy
CINF,IAK.US,2016-02-10,2016-09-15,approved,user_reviewed_insurance_industry_proxy
CLX,RHS.US,2020-03-20,2020-09-15,approved,user_reviewed_consumer_staples_industry_proxy
PYPL,IPAY.US,2020-09-08,2020-12-28,approved,user_reviewed_payments_industry_proxy
ORLY,RTH.US,2018-08-10,2018-12-17,approved,user_reviewed_large_retail_industry_proxy
DISCK,PBS.US,2018-09-17,2018-12-10,approved,user_reviewed_media_industry_proxy
BLDR,PKB.US,2024-02-26,2024-05-06,approved,user_reviewed_building_construction_industry_proxy
RL,,2018-01-26,2018-08-10,excluded,user_reviewed_no_direct_historical_industry_etf
CPRT,IYT.US,2023-04-03,2023-11-15,approved,user_reviewed_transportation_industry_proxy
XOM,XLE.US,2023-01-03,2023-05-01,approved,user_reviewed_integrated_energy_industry_proxy
DHI,ITB.US,2017-11-01,2017-12-26,approved,user_reviewed_homebuilders_industry_proxy
EL,RHS.US,2018-02-12,2018-05-01,approved,user_reviewed_consumer_staples_industry_proxy
LDOS,PPA.US,2020-01-02,2020-04-27,approved,user_reviewed_aerospace_defense_industry_proxy
LEN,ITB.US,2023-02-15,2023-08-07,approved,user_reviewed_homebuilders_industry_proxy
ESRX,IHF.US,2018-10-05,2018-12-20,approved,user_reviewed_healthcare_providers_industry_proxy
ETFC,IAI.US,2018-04-10,2018-07-02,approved,user_reviewed_investment_services_industry_proxy
SWKS,SOXX.US,2020-01-06,2020-10-26,approved,user_reviewed_semiconductor_industry_proxy
DG,RTH.US,2019-01-07,2019-11-26,approved,user_reviewed_large_retail_industry_proxy
GLW,,2025-09-05,2025-12-26,excluded,user_reviewed_no_direct_historical_industry_etf
HES,IEO.US,2022-01-18,2022-10-26,approved,user_reviewed_oil_gas_exploration_industry_proxy
LITE,XTL.US,2026-05-26,2026-06-26,approved,user_reviewed_communications_equipment_industry_proxy
MSFT,IGV.US,2020-02-03,2020-10-20,approved,user_reviewed_software_industry_proxy
URI,PAVE.US,2024-02-15,2024-11-01,approved,user_reviewed_infrastructure_industry_proxy
KEY,IAT.US,2017-01-03,2017-04-26,approved,user_reviewed_regional_banks_industry_proxy
CBOE,IAI.US,2017-09-26,2017-12-26,approved,user_reviewed_investment_services_industry_proxy
CRWD,CIBR.US,2025-02-03,2025-11-10,approved,user_reviewed_cybersecurity_industry_proxy
EBAY,IBUY.US,2025-06-10,2025-10-27,approved,user_reviewed_online_retail_industry_proxy
CVX,XLE.US,2022-02-07,2022-12-20,approved,user_reviewed_integrated_energy_industry_proxy
EA,GAMR.US,2017-05-15,2017-09-20,approved,user_reviewed_video_games_industry_proxy
GAS,XLU.US,2016-01-04,2016-06-27,approved,user_reviewed_utilities_industry_proxy
CRL,IHI.US,2021-08-02,2021-11-01,approved,user_reviewed_medical_devices_industry_proxy
EXR,REZ.US,2021-06-21,2021-12-27,approved,user_reviewed_residential_multisector_reit_proxy
SYF,IPAY.US,2024-04-22,2024-12-26,approved,user_reviewed_payments_industry_proxy
TSCO,RTH.US,2018-01-10,2018-12-17,approved,user_reviewed_large_retail_industry_proxy
MRK,IHE.US,2018-10-15,2018-12-26,approved,user_reviewed_pharmaceuticals_industry_proxy
NDAQ,IAI.US,2016-01-20,2016-04-01,approved,user_reviewed_investment_services_industry_proxy
SNPS,IGV.US,2023-03-20,2023-12-11,approved,user_reviewed_software_industry_proxy
WU,IPAY.US,2019-08-05,2019-12-26,approved,user_reviewed_payments_industry_proxy
INTU,IGV.US,2021-08-20,2021-12-15,approved,user_reviewed_software_industry_proxy
FTNT,CIBR.US,2025-01-02,2025-07-28,approved,user_reviewed_cybersecurity_industry_proxy
ILMN,ARKG.US,2018-01-16,2018-10-22,approved,user_reviewed_genomics_industry_proxy
JCI,XHB.US,2016-05-26,2016-12-27,approved,user_reviewed_homebuilding_products_industry_proxy
ULTA,RTH.US,2023-02-10,2023-05-01,approved,user_reviewed_large_retail_industry_proxy
MOS,MOO.US,2022-04-26,2022-08-26,approved,user_reviewed_agribusiness_industry_proxy
WST,IHI.US,2021-01-04,2021-10-05,approved,user_reviewed_medical_devices_industry_proxy
IDXX,PAWZ.US,2020-08-03,2020-12-28,approved,user_reviewed_pet_care_industry_proxy
ADM,MOO.US,2022-02-01,2022-12-27,approved,user_reviewed_agribusiness_industry_proxy
KR,PBJ.US,2020-03-10,2020-10-05,approved,user_reviewed_food_beverage_industry_proxy
SPG,ICF.US,2021-03-26,2021-12-27,approved,user_reviewed_us_reit_industry_proxy
HES,IEO.US,2018-04-20,2018-10-15,approved,user_reviewed_oil_gas_exploration_industry_proxy
JBL,MADE.US,2025-02-18,2025-10-01,approved,user_reviewed_us_manufacturing_industry_proxy
BKNG,PEJ.US,2023-04-03,2023-12-26,approved,user_reviewed_leisure_travel_industry_proxy
DLR,ICF.US,2016-07-20,2016-09-06,approved,user_reviewed_us_reit_industry_proxy
DVA,IHF.US,2020-01-21,2020-12-28,approved,user_reviewed_healthcare_providers_industry_proxy
ETN,PAVE.US,2023-06-26,2023-11-20,approved,user_reviewed_infrastructure_industry_proxy
ORLY,RTH.US,2019-01-15,2019-05-06,approved,user_reviewed_large_retail_industry_proxy
QCOM,SOXX.US,2024-01-22,2024-07-10,approved,user_reviewed_semiconductor_industry_proxy
PGR,KBWP.US,2024-01-05,2024-09-10,approved,user_reviewed_property_casualty_insurance_industry_proxy
ON,SOXX.US,2023-01-17,2023-09-26,approved,user_reviewed_semiconductor_industry_proxy
ADBE,IGV.US,2020-02-20,2020-10-26,approved,user_reviewed_software_industry_proxy
FTNT,CIBR.US,2020-02-03,2020-08-03,approved,user_reviewed_cybersecurity_industry_proxy
EQIX,SRVR.US,2020-04-06,2020-10-20,approved,user_reviewed_data_infrastructure_real_estate_proxy
FL,XRT.US,2019-01-07,2019-04-26,approved,user_reviewed_retail_industry_proxy
COHR,XTL.US,2026-05-26,2026-06-26,approved,user_reviewed_communications_equipment_industry_proxy
URI,PKB.US,2017-01-03,2017-02-27,approved,user_reviewed_building_construction_industry_proxy
F,CARZ.US,2022-01-03,2022-02-01,approved,user_reviewed_automotive_industry_proxy
ALB,LIT.US,2016-09-01,2016-12-27,approved,user_reviewed_lithium_battery_industry_proxy
DECK,,2024-05-28,2024-08-05,excluded,user_reviewed_no_direct_historical_industry_etf
MPWR,SOXX.US,2024-02-12,2024-10-28,approved,user_reviewed_semiconductor_industry_proxy
MTD,IHI.US,2017-05-22,2017-08-01,approved,user_reviewed_medical_devices_industry_proxy
